TITLE = "Normal distribution"
VARIABLES = "X", "Y", "Z"
ZONE T = "ZONE1", I = 100 J = 100, F = POINT
-3, -3, 1.96413e-05
-3, -2.94, 2.34726e-05
-3, -2.88, 2.79505e-05
-3, -2.82, 3.3163e-05
-3, -2.76, 3.92061e-05
-3, -2.7, 4.6184e-05
-3, -2.64, 5.42083e-05
-3, -2.58, 6.33981e-05
-3, -2.52, 7.38794e-05
-3, -2.46, 8.57841e-05
-3, -2.4, 9.92492e-05
-3, -2.34, 0.000114415
-3, -2.28, 0.000131425
-3, -2.22, 0.00015042
-3, -2.16, 0.000171543
-3, -2.1, 0.000194929
-3, -2.04, 0.000220706
-3, -1.98, 0.000248995
-3, -1.92, 0.0002799
-3, -1.86, 0.000313511
-3, -1.8, 0.000349895
-3, -1.74, 0.000389099
-3, -1.68, 0.00043114
-3, -1.62, 0.000476007
-3, -1.56, 0.000523655
-3, -1.5, 0.000574002
-3, -1.44, 0.000626929
-3, -1.38, 0.000682275
-3, -1.32, 0.00073984
-3, -1.26, 0.000799378
-3, -1.2, 0.000860603
-3, -1.14, 0.000923189
-3, -1.08, 0.000986767
-3, -1.02, 0.00105093
-3, -0.96, 0.00111525
-3, -0.9, 0.00117925
-3, -0.84, 0.00124244
-3, -0.78, 0.00130432
-3, -0.72, 0.00136435
-3, -0.66, 0.00142202
-3, -0.6, 0.0014768
-3, -0.54, 0.00152818
-3, -0.48, 0.00157567
-3, -0.42, 0.00161879
-3, -0.36, 0.00165712
-3, -0.3, 0.00169025
-3, -0.24, 0.00171786
-3, -0.18, 0.00173964
-3, -0.12, 0.00175537
-3, -0.06, 0.00176487
-3, 2.16493e-15, 0.00176805
-3, 0.06, 0.00176487
-3, 0.12, 0.00175537
-3, 0.18, 0.00173964
-3, 0.24, 0.00171786
-3, 0.3, 0.00169025
-3, 0.36, 0.00165712
-3, 0.42, 0.00161879
-3, 0.48, 0.00157567
-3, 0.54, 0.00152818
-3, 0.6, 0.0014768
-3, 0.66, 0.00142202
-3, 0.72, 0.00136435
-3, 0.78, 0.00130432
-3, 0.84, 0.00124244
-3, 0.9, 0.00117925
-3, 0.96, 0.00111525
-3, 1.02, 0.00105093
-3, 1.08, 0.000986767
-3, 1.14, 0.000923189
-3, 1.2, 0.000860603
-3, 1.26, 0.000799378
-3, 1.32, 0.00073984
-3, 1.38, 0.000682275
-3, 1.44, 0.000626929
-3, 1.5, 0.000574002
-3, 1.56, 0.000523655
-3, 1.62, 0.000476007
-3, 1.68, 0.00043114
-3, 1.74, 0.000389099
-3, 1.8, 0.000349895
-3, 1.86, 0.000313511
-3, 1.92, 0.0002799
-3, 1.98, 0.000248995
-3, 2.04, 0.000220706
-3, 2.1, 0.000194929
-3, 2.16, 0.000171543
-3, 2.22, 0.00015042
-3, 2.28, 0.000131425
-3, 2.34, 0.000114415
-3, 2.4, 9.92492e-05
-3, 2.46, 8.57841e-05
-3, 2.52, 7.38794e-05
-3, 2.58, 6.33981e-05
-3, 2.64, 5.42083e-05
-3, 2.7, 4.6184e-05
-3, 2.76, 3.92061e-05
-3, 2.82, 3.3163e-05
-3, 2.88, 2.79505e-05
-3, 2.94, 2.34726e-05
-2.94, -3, 2.34726e-05
-2.94, -2.94, 2.80513e-05
-2.94, -2.88, 3.34026e-05
-2.94, -2.82, 3.96319e-05
-2.94, -2.76, 4.68539e-05
-2.94, -2.7, 5.51929e-05
-2.94, -2.64, 6.47824e-05
-2.94, -2.58, 7.57648e-05
-2.94, -2.52, 8.82906e-05
-2.94, -2.46, 0.000102517
-2.94, -2.4, 0.000118609
-2.94, -2.34, 0.000136733
-2.94, -2.28, 0.000157061
-2.94, -2.22, 0.000179762
-2.94, -2.16, 0.000205005
-2.94, -2.1, 0.000232952
-2.94, -2.04, 0.000263758
-2.94, -1.98, 0.000297565
-2.94, -1.92, 0.000334499
-2.94, -1.86, 0.000374665
-2.94, -1.8, 0.000418147
-2.94, -1.74, 0.000464998
-2.94, -1.68, 0.00051524
-2.94, -1.62, 0.00056886
-2.94, -1.56, 0.000625802
-2.94, -1.5, 0.00068597
-2.94, -1.44, 0.000749221
-2.94, -1.38, 0.000815363
-2.94, -1.32, 0.000884156
-2.94, -1.26, 0.000955308
-2.94, -1.2, 0.00102848
-2.94, -1.14, 0.00110327
-2.94, -1.08, 0.00117925
-2.94, -1.02, 0.00125593
-2.94, -0.96, 0.00133279
-2.94, -0.9, 0.00140928
-2.94, -0.84, 0.0014848
-2.94, -0.78, 0.00155874
-2.94, -0.72, 0.00163049
-2.94, -0.66, 0.00169941
-2.94, -0.6, 0.00176487
-2.94, -0.54, 0.00182627
-2.94, -0.48, 0.00188302
-2.94, -0.42, 0.00193456
-2.94, -0.36, 0.00198036
-2.94, -0.3, 0.00201996
-2.94, -0.24, 0.00205295
-2.94, -0.18, 0.00207898
-2.94, -0.12, 0.00209778
-2.94, -0.06, 0.00210914
-2.94, 2.16493e-15, 0.00211294
-2.94, 0.06, 0.00210914
-2.94, 0.12, 0.00209778
-2.94, 0.18, 0.00207898
-2.94, 0.24, 0.00205295
-2.94, 0.3, 0.00201996
-2.94, 0.36, 0.00198036
-2.94, 0.42, 0.00193456
-2.94, 0.48, 0.00188302
-2.94, 0.54, 0.00182627
-2.94, 0.6, 0.00176487
-2.94, 0.66, 0.00169941
-2.94, 0.72, 0.00163049
-2.94, 0.78, 0.00155874
-2.94, 0.84, 0.0014848
-2.94, 0.9, 0.00140928
-2.94, 0.96, 0.00133279
-2.94, 1.02, 0.00125593
-2.94, 1.08, 0.00117925
-2.94, 1.14, 0.00110327
-2.94, 1.2, 0.00102848
-2.94, 1.26, 0.000955308
-2.94, 1.32, 0.000884156
-2.94, 1.38, 0.000815363
-2.94, 1.44, 0.000749221
-2.94, 1.5, 0.00068597
-2.94, 1.56, 0.000625802
-2.94, 1.62, 0.00056886
-2.94, 1.68, 0.00051524
-2.94, 1.74, 0.000464998
-2.94, 1.8, 0.000418147
-2.94, 1.86, 0.000374665
-2.94, 1.92, 0.000334499
-2.94, 1.98, 0.000297565
-2.94, 2.04, 0.000263758
-2.94, 2.1, 0.000232952
-2.94, 2.16, 0.000205005
-2.94, 2.22, 0.000179762
-2.94, 2.28, 0.000157061
-2.94, 2.34, 0.000136733
-2.94, 2.4, 0.000118609
-2.94, 2.46, 0.000102517
-2.94, 2.52, 8.82906e-05
-2.94, 2.58, 7.57648e-05
-2.94, 2.64, 6.47824e-05
-2.94, 2.7, 5.51929e-05
-2.94, 2.76, 4.68539e-05
-2.94, 2.82, 3.96319e-05
-2.94, 2.88, 3.34026e-05
-2.94, 2.94, 2.80513e-05
-2.88, -3, 2.79505e-05
-2.88, -2.94, 3.34026e-05
-2.88, -2.88, 3.97748e-05
-2.88, -2.82, 4.71924e-05
-2.88, -2.76, 5.57922e-05
-2.88, -2.7, 6.5722e-05
-2.88, -2.64, 7.71409e-05
-2.88, -2.58, 9.02184e-05
-2.88, -2.52, 0.000105134
-2.88, -2.46, 0.000122075
-2.88, -2.4, 0.000141236
-2.88, -2.34, 0.000162818
-2.88, -2.28, 0.000187023
-2.88, -2.22, 0.000214055
-2.88, -2.16, 0.000244114
-2.88, -2.1, 0.000277393
-2.88, -2.04, 0.000314076
-2.88, -1.98, 0.000354332
-2.88, -1.92, 0.000398311
-2.88, -1.86, 0.00044614
-2.88, -1.8, 0.000497917
-2.88, -1.74, 0.000553706
-2.88, -1.68, 0.000613533
-2.88, -1.62, 0.000677381
-2.88, -1.56, 0.000745186
