TITLE = "Z = sin(X) * sin(Y)"
VARIABLES = "X", "Y", "Z"
ZONE T = "ZONE1", I = 100 J = 100, F = POINT
0, 0, 0
0, 0.0628319, 0
0, 0.125664, 0
0, 0.188496, 0
0, 0.251327, 0
0, 0.314159, 0
0, 0.376991, 0
0, 0.439823, 0
0, 0.502655, 0
0, 0.565487, 0
0, 0.628319, 0
0, 0.69115, 0
0, 0.753982, 0
0, 0.816814, 0
0, 0.879646, 0
0, 0.942478, 0
0, 1.00531, 0
0, 1.06814, 0
0, 1.13097, 0
0, 1.19381, 0
0, 1.25664, 0
0, 1.31947, 0
0, 1.3823, 0
0, 1.44513, 0
0, 1.50796, 0
0, 1.5708, 0
0, 1.63363, 0
0, 1.69646, 0
0, 1.75929, 0
0, 1.82212, 0
0, 1.88496, 0
0, 1.94779, 0
0, 2.01062, 0
0, 2.07345, 0
0, 2.13628, 0
0, 2.19911, 0
0, 2.26195, 0
0, 2.32478, 0
0, 2.38761, 0
0, 2.45044, 0
0, 2.51327, 0
0, 2.57611, 0
0, 2.63894, 0
0, 2.70177, 0
0, 2.7646, 0
0, 2.82743, 0
0, 2.89027, 0
0, 2.9531, 0
0, 3.01593, 0
0, 3.07876, 0
0, 3.14159, -0
0, 3.20442, -0
0, 3.26726, -0
0, 3.33009, -0
0, 3.39292, -0
0, 3.45575, -0
0, 3.51858, -0
0, 3.58142, -0
0, 3.64425, -0
0, 3.70708, -0
0, 3.76991, -0
0, 3.83274, -0
0, 3.89557, -0
0, 3.95841, -0
0, 4.02124, -0
0, 4.08407, -0
0, 4.1469, -0
0, 4.20973, -0
0, 4.27257, -0
0, 4.3354, -0
0, 4.39823, -0
0, 4.46106, -0
0, 4.52389, -0
0, 4.58673, -0
0, 4.64956, -0
0, 4.71239, -0
0, 4.77522, -0
0, 4.83805, -0
0, 4.90088, -0
0, 4.96372, -0
0, 5.02655, -0
0, 5.08938, -0
0, 5.15221, -0
0, 5.21504, -0
0, 5.27788, -0
0, 5.34071, -0
0, 5.40354, -0
0, 5.46637, -0
0, 5.5292, -0
0, 5.59203, -0
0, 5.65487, -0
0, 5.7177, -0
0, 5.78053, -0
0, 5.84336, -0
0, 5.90619, -0
0, 5.96903, -0
0, 6.03186, -0
0, 6.09469, -0
0, 6.15752, -0
0, 6.22035, -0
0.0628319, 0, 0
0.0628319, 0.0628319, 0.00394265
0.0628319, 0.125664, 0.00786974
0.0628319, 0.188496, 0.0117658
0.0628319, 0.251327, 0.0156154
0.0628319, 0.314159, 0.0194033
0.0628319, 0.376991, 0.0231147
0.0628319, 0.439823, 0.0267349
0.0628319, 0.502655, 0.0302496
0.0628319, 0.565487, 0.0336448
0.0628319, 0.628319, 0.0369073
0.0628319, 0.69115, 0.0400242
0.0628319, 0.753982, 0.0429831
0.0628319, 0.816814, 0.0457723
0.0628319, 0.879646, 0.0483809
0.0628319, 0.942478, 0.0507986
0.0628319, 1.00531, 0.0530158
0.0628319, 1.06814, 0.0550238
0.0628319, 1.13097, 0.0568146
0.0628319, 1.19381, 0.0583811
0.0628319, 1.25664, 0.0597173
0.0628319, 1.31947, 0.0608178
0.0628319, 1.3823, 0.0616783
0.0628319, 1.44513, 0.0622954
0.0628319, 1.50796, 0.0626666
0.0628319, 1.5708, 0.0627905
0.0628319, 1.63363, 0.0626666
0.0628319, 1.69646, 0.0622954
0.0628319, 1.75929, 0.0616783
0.0628319, 1.82212, 0.0608178
0.0628319, 1.88496, 0.0597173
0.0628319, 1.94779, 0.0583811
0.0628319, 2.01062, 0.0568146
0.0628319, 2.07345, 0.0550238
0.0628319, 2.13628, 0.0530158
0.0628319, 2.19911, 0.0507986
0.0628319, 2.26195, 0.0483809
0.0628319, 2.32478, 0.0457723
0.0628319, 2.38761, 0.0429831
0.0628319, 2.45044, 0.0400242
0.0628319, 2.51327, 0.0369073
0.0628319, 2.57611, 0.0336448
0.0628319, 2.63894, 0.0302496
0.0628319, 2.70177, 0.0267349
0.0628319, 2.7646, 0.0231147
0.0628319, 2.82743, 0.0194033
0.0628319, 2.89027, 0.0156154
0.0628319, 2.9531, 0.0117658
0.0628319, 3.01593, 0.00786974
0.0628319, 3.07876, 0.00394265
0.0628319, 3.14159, -1.59618e-16
0.0628319, 3.20442, -0.00394265
0.0628319, 3.26726, -0.00786974
0.0628319, 3.33009, -0.0117658
0.0628319, 3.39292, -0.0156154
0.0628319, 3.45575, -0.0194033
0.0628319, 3.51858, -0.0231147
0.0628319, 3.58142, -0.0267349
0.0628319, 3.64425, -0.0302496
0.0628319, 3.70708, -0.0336448
0.0628319, 3.76991, -0.0369073
0.0628319, 3.83274, -0.0400242
0.0628319, 3.89557, -0.0429831
0.0628319, 3.95841, -0.0457723
0.0628319, 4.02124, -0.0483809
0.0628319, 4.08407, -0.0507986
0.0628319, 4.1469, -0.0530158
0.0628319, 4.20973, -0.0550238
0.0628319, 4.27257, -0.0568146
0.0628319, 4.3354, -0.0583811
0.0628319, 4.39823, -0.0597173
0.0628319, 4.46106, -0.0608178
0.0628319, 4.52389, -0.0616783
0.0628319, 4.58673, -0.0622954
0.0628319, 4.64956, -0.0626666
0.0628319, 4.71239, -0.0627905
0.0628319, 4.77522, -0.0626666
0.0628319, 4.83805, -0.0622954
0.0628319, 4.90088, -0.0616783
0.0628319, 4.96372, -0.0608178
0.0628319, 5.02655, -0.0597173
0.0628319, 5.08938, -0.0583811
0.0628319, 5.15221, -0.0568146
0.0628319, 5.21504, -0.0550238
0.0628319, 5.27788, -0.0530158
0.0628319, 5.34071, -0.0507986
0.0628319, 5.40354, -0.0483809
0.0628319, 5.46637, -0.0457723
0.0628319, 5.5292, -0.0429831
0.0628319, 5.59203, -0.0400242
0.0628319, 5.65487, -0.0369073
0.0628319, 5.7177, -0.0336448
0.0628319, 5.78053, -0.0302496
0.0628319, 5.84336, -0.0267349
0.0628319, 5.90619, -0.0231147
0.0628319, 5.96903, -0.0194033
0.0628319, 6.03186, -0.0156154
0.0628319, 6.09469, -0.0117658
0.0628319, 6.15752, -0.00786974
0.0628319, 6.22035, -0.00394265
0.125664, 0, 0
0.125664, 0.0628319, 0.00786974
0.125664, 0.125664, 0.0157084
0.125664, 0.188496, 0.0234851
0.125664, 0.251327, 0.0311691
0.125664, 0.314159, 0.0387301
0.125664, 0.376991, 0.0461382
0.125664, 0.439823, 0.0533643
0.125664, 0.502655, 0.0603797
0.125664, 0.565487, 0.0671569
0.125664, 0.628319, 0.073669
0.125664, 0.69115, 0.0798904
0.125664, 0.753982, 0.0857965
0.125664, 0.816814, 0.091364
0.125664, 0.879646, 0.0965709
0.125664, 0.942478, 0.101397
0.125664, 1.00531, 0.105822
0.125664, 1.06814, 0.10983
0.125664, 1.13097, 0.113405
0.125664, 1.19381, 0.116532
0.125664, 1.25664, 0.119199
0.125664, 1.31947, 0.121396
0.125664, 1.3823, 0.123113
0.125664, 1.44513, 0.124345
0.125664, 1.50796, 0.125086
0.125664, 1.5708, 0.125333
0.125664, 1.63363, 0.125086
0.125664, 1.69646, 0.124345
0.125664, 1.75929, 0.123113
0.125664, 1.82212, 0.121396
0.125664, 1.88496, 0.119199
0.125664, 1.94779, 0.116532
0.125664, 2.01062, 0.113405
0.125664, 2.07345, 0.10983
0.125664, 2.13628, 0.105822
0.125664, 2.19911, 0.101397
0.125664, 2.26195, 0.0965709
0.125664, 2.32478, 0.091364
0.125664, 2.38761, 0.0857965
0.125664, 2.45044, 0.0798904
0.125664, 2.51327, 0.073669
0.125664, 2.57611, 0.0671569
0.125664, 2.63894, 0.0603797
0.125664, 2.70177, 0.0533643
0.125664, 2.7646, 0.0461382
0.125664, 2.82743, 0.0387301
0.125664, 2.89027, 0.0311691
0.125664, 2.9531, 0.0234851
0.125664, 3.01593, 0.0157084
0.125664, 3.07876, 0.00786974
0.125664, 3.14159, -3.18606e-16
0.125664, 3.20442, -0.00786974
0.125664, 3.26726, -0.0157084
0.125664, 3.33009, -0.0234851
0.125664, 3.39292, -0.0311691
0.125664, 3.45575, -0.0387301
0.125664, 3.51858, -0.0461382
0.125664, 3.58142, -0.0533643
0.125664, 3.64425, -0.0603797
0.125664, 3.70708, -0.0671569
0.125664, 3.76991, -0.073669
0.125664, 3.83274, -0.0798904
0.125664, 3.89557, -0.0857965
0.125664, 3.95841, -0.091364
0.125664, 4.02124, -0.0965709
0.125664, 4.08407, -0.101397
0.125664, 4.1469, -0.105822
