TITLE = "Y = X * sin(X)"
VARIABLES = "X", "Y"
-100, -50.6366
-99, -98.9215
-98, -56.1914
-97, 36.822
-96, 94.4244
-95, 64.9099
-94, -23.0537
-93, -88.1902
-92, -71.7109
-91, 9.64486
-90, 80.4597
-89, 76.5462
-88, 3.11505
-87, -71.4982
-86, -79.4174
-85, -14.9664
-84, 61.588
-83, 80.3743
-82, 25.6848
-81, -51.0209
-80, -79.5111
-79, -35.0849
-78, 40.0903
-77, 76.9631
-76, 43.0242
-75, -29.0836
-74, -72.9008
-73, -49.4044
-72, 18.2753
-71, 67.5249
-70, 54.1723
-69, -7.92015
-68, -61.0591
-67, -57.3198
-66, -1.75238
-65, 53.7439
-64, 58.8817
-63, 10.5434
-62, -45.8292
-61, -58.9332
-60, -18.2886
-59, 37.5675
-58, 57.5866
-57, 24.8614
-56, -29.2069
-55, -54.9865
-54, -30.1746
-53, 20.984
-52, 51.3046
-51, 34.1817
-50, -13.1187
-49, -46.7339
-48, -36.8762
-47, 5.80794
-46, 41.4823
-45, 38.2907
-44, 0.778885
-43, -35.7663
-42, -38.4939
-41, -6.50353
-40, 29.8045
-39, 37.588
-38, 11.262
-37, -23.8109
-36, -35.704
-35, -14.9864
-34, 17.9888
-33, 32.9971
-32, 17.6457
-31, -12.5252
-30, -29.6409
-29, -19.2454
-28, 7.58536
-27, 25.8222
-26, 19.8265
-25, -3.30879
-24, -21.7339
-23, -19.4631
-22, -0.194729
-21, 17.5698
-20, 18.2589
-19, 2.84767
-18, -13.5178
-17, -16.3438
-16, -4.60645
-15, 9.75432
-14, 13.8685
-13, 5.46217
-12, -6.43888
-11, -10.9999
-10, -5.44021
-9, 3.70907
-8, 7.91487
-7, 4.59891
-6, -1.67649
-5, -4.79462
-4, -3.02721
-3, 0.42336
-2, 1.81859
-1, 0.841471
0, 0
1, 0.841471
2, 1.81859
3, 0.42336
4, -3.02721
5, -4.79462
6, -1.67649
7, 4.59891
8, 7.91487
9, 3.70907
10, -5.44021
11, -10.9999
12, -6.43888
13, 5.46217
14, 13.8685
15, 9.75432
16, -4.60645
17, -16.3438
18, -13.5178
19, 2.84767
20, 18.2589
21, 17.5698
22, -0.194729
23, -19.4631
24, -21.7339
25, -3.30879
26, 19.8265
27, 25.8222
28, 7.58536
29, -19.2454
30, -29.6409
31, -12.5252
32, 17.6457
33, 32.9971
34, 17.9888
35, -14.9864
36, -35.704
37, -23.8109
38, 11.262
39, 37.588
40, 29.8045
41, -6.50353
42, -38.4939
43, -35.7663
44, 0.778885
45, 38.2907
46, 41.4823
47, 5.80794
48, -36.8762
49, -46.7339
50, -13.1187
51, 34.1817
52, 51.3046
53, 20.984
54, -30.1746
55, -54.9865
56, -29.2069
57, 24.8614
58, 57.5866
59, 37.5675
60, -18.2886
61, -58.9332
62, -45.8292
63, 10.5434
64, 58.8817
65, 53.7439
66, -1.75238
67, -57.3198
68, -61.0591
69, -7.92015
70, 54.1723
71, 67.5249
72, 18.2753
73, -49.4044
74, -72.9008
75, -29.0836
76, 43.0242
77, 76.9631
78, 40.0903
79, -35.0849
80, -79.5111
81, -51.0209
82, 25.6848
83, 80.3743
84, 61.588
85, -14.9664
86, -79.4174
87, -71.4982
88, 3.11505
89, 76.5462
90, 80.4597
91, 9.64486
92, -71.7109
93, -88.1902
94, -23.0537
95, 64.9099
96, 94.4244
97, 36.822
98, -56.1914
99, -98.9215
